source,reference,titre,offre,type_bien,quartier,ville,prix,piece,surface,url,date_annonce,annee,trimestre,periode
coinafrique_scraped,5777418,Location villa 4 pièces - Kégué,louer,Villa,Kégué,Lomé,350.0,4.0,,https://tg.coinafrique.com/annonce/villas/location-villa-4-pieces-kegue-5777418,,2026,2,2026-Q2
coinafrique_scraped,5799270,Terrain 1 lot  - Agbalepedo .,,Terrain,Baguida,Lomé,67000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-agbalepedo-5799270,,2026,2,2026-Q2
coinafrique_scraped,5799263,Terrain  - Agoe legbassito,,Terrain,Agoè,Lomé,8500000.0,,,https://tg.coinafrique.com/annonce/terrains/terrain-agoe-legbassito-5799263,,2026,2,2026-Q2
coinafrique_scraped,5777412,Location villa 4 pièces - Adidogome Wonyomé,louer,Villa,Baguida,Lomé,650000.0,4.0,,https://tg.coinafrique.com/annonce/villas/location-villa-4-pieces-adidogome-wonyome-5777412,,2026,2,2026-Q2
coinafrique_scraped,5782917,Terrain 1 lot avec titre foncier personnel à Soviepe,,Terrain,Baguida,Lomé,35000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-avec-titre-foncier-personnel-a-soviepe-5782917,,2026,2,2026-Q2
coinafrique_scraped,5775790,Location boutique au bord du goudron à Be kpehenou,louer,Boutique,Baguida,Lomé,250000.0,,,https://tg.coinafrique.com/annonce/bureaux-et-commerces/location-boutique-au-bord-du-goudron-a-be-kpehenou-5775790,,2026,2,2026-Q2
coinafrique_scraped,5782901,Vente villa 8 pièces avec piscine sur deux lots à Baguida bkbg,vendre,Villa,Baguida,Lomé,370000000.0,8.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-8-pieces-avec-piscine-sur-deux-lots-a-baguida-bkbg-5782901,,2026,2,2026-Q2
coinafrique_scraped,5797993,Vente  villa 6 pièces -Avedji limousine,vendre,Villa,Avédji,Lomé,47000000.0,6.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-6-pieces-avedji-limousine-5797993,,2026,2,2026-Q2
coinafrique_scraped,5782847,Vente villa duplex de 7 pièces avec piscine - Adidogomé,vendre,Villa,Adidogomé,Lomé,360000000.0,7.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-de-7-pieces-avec-piscine-adidogome-5782847,,2026,2,2026-Q2
coinafrique_scraped,5786528,Terrain 1 lot ¾ à segbé,,Terrain,Baguida,Lomé,33000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-segbe-5786528,,2026,2,2026-Q2
coinafrique_scraped,5782836,Terrain 1lot  à Agoè minamadou,,Terrain,Agoè,Lomé,35000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-a-agoe-minamadou-5782836,,2026,2,2026-Q2
coinafrique_scraped,5802928,Terrains 600  - grand marché de lomé,,Terrain,Baguida,Lomé,16000000.0,,,https://tg.coinafrique.com/annonce/terrains/terrains-600-grand-marche-de-lome-5802928,,2026,2,2026-Q2
coinafrique_scraped,5762471,Vente villa 04 pièces  -Adetikopé kpotavé,vendre,Villa,Baguida,Lomé,85000000.0,4.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-04-pieces-adetikope-kpotave-5762471,,2026,2,2026-Q2
coinafrique_scraped,5778963,Terrain 1000m² - Zanguéra klémé château,,Terrain,Zanguéra,Lomé,30000000.0,,1000.0,https://tg.coinafrique.com/annonce/terrains/terrain-1000m-zanguera-kleme-chateau-5778963,,2026,2,2026-Q2
coinafrique_scraped,5782849,Location appartement meublé à Attiegou dva,louer,Appartement,Baguida,Lomé,180000.0,,,https://tg.coinafrique.com/annonce/appartements-meubles/location-appartement-meuble-a-attiegou-dva-5782849,,2026,2,2026-Q2
coinafrique_scraped,5775685,Terrain 1 lot 541 m² - Baguida,,Terrain,Baguida,Lomé,40000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-541-m-baguida-5775685,,2026,2,2026-Q2
coinafrique_scraped,5766896,Vente villa 4 pièces piscine et jardin  à  Baguida,vendre,Villa,Baguida,Lomé,350000000.0,4.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-4-pieces-piscine-et-jardin-a-baguida-5766896,,2026,2,2026-Q2
coinafrique_scraped,5762438,Terrain 200m²  -Atiégou,,Terrain,Baguida,Lomé,15000000.0,,200.0,https://tg.coinafrique.com/annonce/terrains/terrain-200m-atiegou-5762438,,2026,2,2026-Q2
coinafrique_scraped,5782814,Terrain 400m² à mission Tové,,Terrain,Mission Tové,Lomé,5000000.0,,400.0,https://tg.coinafrique.com/annonce/terrains/terrain-400m-a-mission-tove-5782814,,2026,2,2026-Q2
coinafrique_scraped,5770164,Terrain  1/2 lot - Zanguéra,,Terrain,Zanguéra,Lomé,12000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-zanguera-5770164,,2026,2,2026-Q2
coinafrique_scraped,5755035,Vente villa 6 pièces - Agoè,vendre,Villa,Agoè,Lomé,65000000.0,6.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-6-pieces-agoe-5755035,,2026,2,2026-Q2
coinafrique_scraped,5777182,Vente villa 06 pièces - adidogomé balissimé,vendre,Villa,Adidogomé,Lomé,360000000.0,6.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-06-pieces-adidogome-balissime-5777182,,2026,2,2026-Q2
coinafrique_scraped,5794610,Terrain 1/2 lot  à avedji CEG,,Terrain,Avédji,Lomé,22000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-a-avedji-ceg-5794610,,2026,2,2026-Q2
coinafrique_scraped,5787651,Terrain 1lot  - Togo,,Terrain,Baguida,Lomé,90000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-togo-5787651,,2026,2,2026-Q2
coinafrique_scraped,5773579,Terrain 1 lot -Legbassito,,Terrain,Baguida,Lomé,95000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-legbassito-5773579,,2026,2,2026-Q2
coinafrique_scraped,5780689,Terrain 02 lots collés à Apessito ceg,,Terrain,Baguida,Lomé,26000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-02-lots-colles-a-apessito-ceg-5780689,,2026,2,2026-Q2
coinafrique_scraped,5765231,Terrain 01 lot - bè klikamé,,Terrain,Bè,Lomé,60000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-01-lot-be-klikame-5765231,,2026,2,2026-Q2
coinafrique_scraped,5780697,Terrain ½ lot à  Apessito catholique,,Terrain,Baguida,Lomé,11000000.0,,,https://tg.coinafrique.com/annonce/terrains/terrain-lot-a-apessito-catholique-5780697,,2026,2,2026-Q2
coinafrique_scraped,5762318,Terrain 02 lots - Lomé_Klikamé,,Terrain,Baguida,Lomé,50000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-02-lots-lome-klikame-5762318,,2026,2,2026-Q2
coinafrique_scraped,5763936,Terrain  1 lot - Djidjolé obu,,Terrain,Djidjolé,Lomé,75000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-djidjole-obu-5763936,,2026,2,2026-Q2
coinafrique_scraped,5780662,Location villa 4 pièces à Kegué,louer,Villa,Baguida,Lomé,500000.0,4.0,,https://tg.coinafrique.com/annonce/villas/location-villa-4-pieces-a-kegue-5780662,,2026,2,2026-Q2
coinafrique_scraped,5760269,Vente villa 3 pièces à Kégué,vendre,Villa,Kégué,Lomé,48000000.0,3.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-3-pieces-a-kegue-5760269,,2026,2,2026-Q2
coinafrique_scraped,5766823,Location appartement 03 chambres Avedji Léo 2000,louer,Appartement,Baguida,Lomé,200000.0,3.0,,https://tg.coinafrique.com/annonce/appartements/location-appartement-03-chambres-avedji-leo-2000-5766823,,2026,2,2026-Q2
coinafrique_scraped,5782651,Location villa climatisées de 04 pièces à Adidogomé douane,louer,Villa,Adidogomé,Lomé,300000.0,4.0,,https://tg.coinafrique.com/annonce/villas/location-villa-climatisees-de-04-pieces-a-adidogome-douane-5782651,,2026,2,2026-Q2
coinafrique_scraped,5760264,Terrain 1 lot  à Totsi,,Terrain,Totsi,Lomé,90000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-totsi-5760264,,2026,2,2026-Q2
coinafrique_scraped,5760260,Terrain 1 lot et quart  à Avenou,,Terrain,Avenou,Lomé,55000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-et-quart-a-avenou-5760260,,2026,2,2026-Q2
coinafrique_scraped,5794528,Location villa de 06 pièces à tokoin protestant,louer,Villa,Tokoin,Lomé,400000.0,6.0,,https://tg.coinafrique.com/annonce/villas/location-villa-de-06-pieces-a-tokoin-protestant-5794528,,2026,2,2026-Q2
coinafrique_scraped,5760249,Terrain 2 lots  à Agoè legbassito assikor,,Terrain,Agoè,Lomé,18000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-a-agoe-legbassito-assikor-5760249,,2026,2,2026-Q2
coinafrique_scraped,5760236,Terrain 1 lot et quart  à Totsi,,Terrain,Totsi,Lomé,60000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-et-quart-a-totsi-5760236,,2026,2,2026-Q2
coinafrique_scraped,5766787,Vente villa duplex 3 chambres salon à  Hedzranawoé Nathaba,vendre,Villa,Baguida,Lomé,250000000.0,3.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-3-chambres-salon-a-hedzranawoe-nathaba-5766787,,2026,2,2026-Q2
coinafrique_scraped,5786410,Location villa 4 pièces - kégué koffi kpanou,louer,Villa,Kégué,Lomé,120000.0,4.0,,https://tg.coinafrique.com/annonce/villas/location-villa-4-pieces-kegue-koffi-kpanou-5786410,,2026,2,2026-Q2
coinafrique_scraped,5790784,Location villa duplex 6 pièces avec piscine de 05 pièces à  Baguida,louer,Villa,Baguida,Lomé,1500000.0,6.0,,https://tg.coinafrique.com/annonce/villas/location-villa-duplex-6-pieces-avec-piscine-de-05-pieces-a-baguida-5790784,,2026,2,2026-Q2
coinafrique_scraped,5777080,Location villa de 03 pièces à zanguera la madone,louer,Villa,Baguida,Lomé,120000.0,3.0,,https://tg.coinafrique.com/annonce/villas/location-villa-de-03-pieces-a-zanguera-la-madone-5777080,,2026,2,2026-Q2
coinafrique_scraped,5766779,Vente maison  à Adidogomé Rail,vendre,Maison,Adidogomé,Lomé,25000000.0,,,https://tg.coinafrique.com/annonce/villas/vente-maison-a-adidogome-rail-5766779,,2026,2,2026-Q2
coinafrique_scraped,5758390,Vente villa 5 pièces à Baguida,vendre,Villa,Baguida,Lomé,500000000.0,5.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-5-pieces-a-baguida-5758390,,2026,2,2026-Q2
