titre,type_offre,type_bien,zone,prix,pieces,surface_m2,Valeur par piece,Valeur par m2,source,raison_rejet
Location appartements 3pièces - Lomé,LOCATION,Appartement,lome,35000,3.0,48.0,11667.0,729.0,coinafrique,prix_m2_trop_bas
Location appartement meublé 3 pièces - Lomé,LOCATION,Appartement,lome,35000,3.0,48.0,11667.0,729.0,coinafrique,prix_m2_trop_bas
Location appartement meublé 4 pièces - Adidogome atilamonou,LOCATION,Appartement,atilamonou,30000,4.0,64.0,7500.0,469.0,coinafrique,prix_m2_trop_bas
Location appartement meublé 4 pièces - Lomé,LOCATION,Appartement,lome,30000,4.0,64.0,7500.0,469.0,coinafrique,prix_m2_trop_bas
Location appartements meublés 3 pièces - Lomé,LOCATION,Appartement,lome,30000,3.0,48.0,10000.0,625.0,coinafrique,prix_m2_trop_bas
Location appartement meublé 3 pièces - Agoe Cacaveli,LOCATION,Appartement,cacaveli,25000,3.0,48.0,8333.0,521.0,coinafrique,prix_m2_trop_bas
Location appartement meublés 2 pièces cour unique à Lomé,LOCATION,Appartement,lome,25000,2.0,32.0,12500.0,781.0,coinafrique,prix_m2_trop_bas
Location appartements meublés 2 pièces - Lomé Kégué,LOCATION,Appartement,kegue,20000,2.0,32.0,10000.0,625.0,coinafrique,prix_m2_trop_bas
Location appartements meublés 2 pièces - Lomé Hédzranawoé Aéroport,LOCATION,Appartement,hedzranawoe,20000,2.0,32.0,10000.0,625.0,coinafrique,prix_m2_trop_bas
Location appartement 2 pièces - Lomé Adeticope,LOCATION,Appartement,adetikope,20000,2.0,32.0,10000.0,625.0,coinafrique,prix_m2_trop_bas
Location appartement 2 pièces - Zanguera Maco,LOCATION,Appartement,zanguera maco,20000,2.0,32.0,10000.0,625.0,coinafrique,prix_m2_trop_bas
Location appartement - Avedji Rail,LOCATION,Appartement,avedji,15000,1.0,16.0,15000.0,938.0,coinafrique,prix_m2_trop_bas
Location appartement 1 pièces - Lomé Aéroport,LOCATION,Appartement,hedzranawoe aeroport,12500,1.0,16.0,12500.0,781.0,coinafrique,prix_m2_trop_bas
Location appartement à agoè athiémé,LOCATION,Appartement,agoe,12000,1.0,16.0,12000.0,750.0,coinafrique,prix_m2_trop_bas
Location restaurant de 300 m2 à Bé Yesuvito,LOCATION,Boutique,be yesuvito,200000,10.0,300.0,20000.0,667.0,coinafrique,prix_m2_trop_bas
Location restaurant 300 m2 à Bé yesuvito,LOCATION,Boutique,be yesuvito,200000,10.0,300.0,20000.0,667.0,coinafrique,prix_m2_trop_bas
Location bureau meublé à Forever,LOCATION,Bureau,forever,2500000,3.0,450.0,833333.0,5556.0,coinafrique,zone_description_lieu
Location bureaux à Forever,LOCATION,Bureau,forever,2500000,3.0,350.0,833333.0,7143.0,coinafrique,zone_description_lieu
Location bureau meublée de 03 pièces à hedzranawoe à côté de clinique ST Joseph,LOCATION,Bureau,hedzranawoe a cote de clinique st joseph,300000,3.0,36.0,100000.0,8333.0,coinafrique,zone_trop_longue
Location chambre salons meublé - Hedjranawoe lomé 2,LOCATION,Chambre,hedjranawoe lome 2,250000,7.0,600.0,35714.0,417.0,coinafrique,prix_m2_trop_bas
Location chambre salon - Davié juste derrière l'école de la police,LOCATION,Chambre,davie juste,30000,2.0,24.0,15000.0,1250.0,coinafrique,zone_description_lieu
Location entrepôt - Aeroport,LOCATION,Entrepot,hedzranawoe aeroport,1500000,1.0,1700.0,1500000.0,882.0,coinafrique,prix_m2_trop_bas
Location Salle de conférence - Tokoin,LOCATION,Entrepot,tokoin,300000,1.0,390.0,300000.0,769.0,coinafrique,prix_m2_trop_bas
Location entrepôt ou magasin Tokoin Cassablanca au bord du goudron,LOCATION,Entrepot,tokoin,300000,1.0,650.0,300000.0,462.0,coinafrique,prix_m2_trop_bas
Location magasin - 2 lions,LOCATION,Entrepot,2 lions,140000,1.0,650.0,140000.0,215.0,coinafrique,prix_m2_trop_bas
Location immeuble - Agoè,LOCATION,Immeuble,agoe,600000,6.0,650.0,100000.0,923.0,coinafrique,prix_m2_trop_bas
Location terrains agricole 1200000 m² - Lomé,LOCATION,Terrain,lome,800000,1.0,1200000.0,800000.0,1.0,coinafrique,prix_m2_trop_bas
Location villa duplex 6 pièces à la cité OUA,LOCATION,Villa,cite oua,1200000000,6.0,96.0,200000000.0,12500000.0,coinafrique,prix_m2_trop_eleve
Location villa duplex 6 pièces - Casablanca,LOCATION,Villa,casablanca,310000000,6.0,96.0,51666667.0,3229167.0,coinafrique,prix_m2_trop_eleve
Location villas 9 pièces - Kegue,LOCATION,Villa,kegue,300000000,9.0,144.0,33333333.0,2083333.0,coinafrique,prix_m2_trop_eleve
Location villa triplex 6 pièces - Tokoin casablanca,LOCATION,Villa,tokoin,250000000,6.0,96.0,41666667.0,2604167.0,coinafrique,prix_m2_trop_eleve
Location villa duplex 6 pièces - Forever wuiti novissi caisse,LOCATION,Villa,forever,22000000,6.0,96.0,3666667.0,229167.0,coinafrique,zone_description_lieu
