source,reference,titre,offre,type_bien,localisation,prix,piece,surface,url
CoinAfrique,5765231,Terrain 01 lot - bè klikamé,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,60 000 000 CFA,,01,https://tg.coinafrique.com/annonce/terrains/terrain-01-lot-be-klikame-5765231
CoinAfrique,5780697,Terrain ½ lot à  Apessito catholique,,Terrain,IMMO-HOUSE SARL-UTogo1828 Annonces,11 000 000 CFA,,,https://tg.coinafrique.com/annonce/terrains/terrain-lot-a-apessito-catholique-5780697
CoinAfrique,5762318,Terrain 02 lots - Lomé_Klikamé,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,50 000 000 CFA,,02,https://tg.coinafrique.com/annonce/terrains/terrain-02-lots-lome-klikame-5762318
CoinAfrique,5763936,Terrain  1 lot - Djidjolé obu,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,75 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-djidjole-obu-5763936
CoinAfrique,5780662,Location villa 4 pièces à Kegué,louer,Villa,IMMO-HOUSE SARL-UTogo1828 Annonces,500 000 CFA,4,,https://tg.coinafrique.com/annonce/villas/location-villa-4-pieces-a-kegue-5780662
CoinAfrique,5760269,Vente villa 3 pièces à Kégué,vendre,Villa,DYNAMIQUE IMMOBILIERTogo3467 Annonces,48 000 000 CFA,3,,https://tg.coinafrique.com/annonce/villas/vente-villa-3-pieces-a-kegue-5760269
CoinAfrique,5766823,Location appartement 03 chambres Avedji Léo 2000,louer,Appartement,FRANCO IMMOBILIERTogo1397 Annonces,200 000 CFA,03,,https://tg.coinafrique.com/annonce/appartements/location-appartement-03-chambres-avedji-leo-2000-5766823
CoinAfrique,5782651,Location villa climatisées de 04 pièces à Adidogomé douane,louer,Villa,IMMO-HOUSE SARL-UTogo1828 Annonces,300 000 CFA,04,,https://tg.coinafrique.com/annonce/villas/location-villa-climatisees-de-04-pieces-a-adidogome-douane-5782651
CoinAfrique,5760264,Terrain 1 lot  à Totsi,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,90 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-totsi-5760264
CoinAfrique,5760260,Terrain 1 lot et quart  à Avenou,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,55 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-et-quart-a-avenou-5760260
CoinAfrique,5794528,Location villa de 06 pièces à tokoin protestant,louer,Villa,IMMO-HOUSE SARL-UTogo1828 Annonces,400 000 CFA,06,,https://tg.coinafrique.com/annonce/villas/location-villa-de-06-pieces-a-tokoin-protestant-5794528
CoinAfrique,5760249,Terrain 2 lots  à Agoè legbassito assikor,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,18 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-a-agoe-legbassito-assikor-5760249
CoinAfrique,5766787,Vente villa duplex 3 chambres salon à  Hedzranawoé Nathaba,vendre,Villa,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,250 000 000 CFA,3,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-3-chambres-salon-a-hedzranawoe-nathaba-5766787
CoinAfrique,5760236,Terrain 1 lot et quart  à Totsi,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,60 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-et-quart-a-totsi-5760236
CoinAfrique,5786410,Location villa 4 pièces - kégué koffi kpanou,louer,Villa,NAGOBA SERVICES TOGOTogo2886 Annonces,120 000 CFA,4,,https://tg.coinafrique.com/annonce/villas/location-villa-4-pieces-kegue-koffi-kpanou-5786410
CoinAfrique,5790784,Location villa duplex 6 pièces avec piscine de 05 pièces à  Baguida,louer,Villa,IMMO-HOUSE SARL-UTogo1828 Annonces,1 500 000 CFA,6,,https://tg.coinafrique.com/annonce/villas/location-villa-duplex-6-pieces-avec-piscine-de-05-pieces-a-baguida-5790784
CoinAfrique,5777080,Location villa de 03 pièces à zanguera la madone,louer,Villa,IMMO-HOUSE SARL-UTogo1828 Annonces,120 000 CFA,03,,https://tg.coinafrique.com/annonce/villas/location-villa-de-03-pieces-a-zanguera-la-madone-5777080
CoinAfrique,5766779,Vente maison  à Adidogomé Rail,vendre,,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,25 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/vente-maison-a-adidogome-rail-5766779
CoinAfrique,5758390,Vente villa 5 pièces à Baguida,vendre,Villa,DYNAMIQUE IMMOBILIERTogo3467 Annonces,500 000 000 CFA,5,,https://tg.coinafrique.com/annonce/villas/vente-villa-5-pieces-a-baguida-5758390
CoinAfrique,5770007,Vente villa 4 pièces à Djidjole,vendre,Villa,DYNAMIQUE IMMOBILIERTogo3467 Annonces,27 000 000 CFA,4,,https://tg.coinafrique.com/annonce/villas/vente-villa-4-pieces-a-djidjole-5770007
CoinAfrique,5788982,Terrain ¾ lots  à Attiegouvi,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,28 000 000 CFA,,,https://tg.coinafrique.com/annonce/terrains/terrain-lots-a-attiegouvi-5788982
CoinAfrique,5793702,Vente immeuble à  Agoè Légbassito,vendre,Immeuble,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,80 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/vente-immeuble-a-agoe-legbassito-5793702
CoinAfrique,5733549,Location villa meublée 3 pièces - tokoin,louer,Villa,BG&ASSOCIÉ IMMOBILIER BMembre depuis2 années253 Annonces,450 000 CFA,3,,https://tg.coinafrique.com/annonce/villas/location-villa-meublee-3-pieces-tokoin-5733549
CoinAfrique,5792089,Vente villa R+2 à  Zanguera,vendre,Villa,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,34 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/vente-villa-r2-a-zanguera-5792089
CoinAfrique,5744869,Terrain 1/4 lot - Ségbé Agokpanou,,Terrain,ANGEL'S OF SKY CONSTRUCTION IMTogo50 Annonces,5 000 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/terrain-1-4-lot-segbe-agokpanou-5744869
CoinAfrique,5792157,Vente villa 2 chambres salon à  Sanguera,vendre,Villa,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,20 000 000 CFA,2,,https://tg.coinafrique.com/annonce/villas/vente-villa-2-chambres-salon-a-sanguera-5792157
CoinAfrique,5788934,Terrain 1/2 lot à à Attiegou base 2 en allant à Kpota,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,20 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-a-a-attiegou-base-2-en-allant-a-kpota-5788934
CoinAfrique,5802066,Location vente  maison à Super taco,vendre,,poukine NanoMembre depuis9 mois20 Annonces,120 000 000 CFA,,,https://tg.coinafrique.com/annonce/appartements/location-vente-maison-a-super-taco-5802066
CoinAfrique,5780462,Vente villa duplex 5 chambres 2 salons pAgbalepedo iscine,vendre,Villa,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,190 000 000 CFA,5,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-5-chambres-2-salons-pagbalepedo-iscine-5780462
CoinAfrique,5794154,Vente villa à Agoè Légbassito -Athiomé,vendre,Villa,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,30 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/vente-villa-a-agoe-legbassito-athiome-5794154
CoinAfrique,5758377,Terrain 1 lot à Agoè legbassito,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,23 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-agoe-legbassito-5758377
CoinAfrique,5754910,Location résidence  à la Caisse,louer,,DYNAMIQUE IMMOBILIERTogo3467 Annonces,2 600 000 CFA,,,https://tg.coinafrique.com/annonce/villas/location-residence-a-la-caisse-5754910
CoinAfrique,5758374,Vente villa à Assiyeye,vendre,Villa,DYNAMIQUE IMMOBILIERTogo3467 Annonces,45 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/vente-villa-a-assiyeye-5758374
CoinAfrique,5758368,Terrain 1 lot  à Klikamé,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,80 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-klikame-5758368
CoinAfrique,5758361,Terrain 2 lots à Adetikope,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,25 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-a-adetikope-5758361
CoinAfrique,5758366,Vente villa  à Segbe,vendre,Villa,DYNAMIQUE IMMOBILIERTogo3467 Annonces,55 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/vente-villa-a-segbe-5758366
CoinAfrique,5777064,Location appartement 02 pièces à Amadahome,louer,Appartement,IMMO-HOUSE SARL-UTogo1828 Annonces,85 000 CFA,02,,https://tg.coinafrique.com/annonce/appartements/location-appartement-02-pieces-a-amadahome-5777064
CoinAfrique,5789290,Terrain 1/2 lot - Agoè Dikamé Bernad Kopé,,Terrain,ANGEL'S OF SKY CONSTRUCTION IMTogo50 Annonces,4 500 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-agoe-dikame-bernad-kope-5789290
CoinAfrique,5758349,Terrain 2 lots à Klikamé,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,50 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-a-klikame-5758349
CoinAfrique,5758352,Terrain 1 lot à Agbalepedo gta,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,65 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-agbalepedo-gta-5758352
